id,slug,market_segment,name,brand,type,category,description,price_base_usd,release_date,release_year,compatibility,specs,technologies,benchmarks,tags,created_at,price_base_eur
cpu-amd-ryzen-5500gt,amd-ryzen-5-5500gt,gaming,AMD Ryzen 5 5500GT,AMD,cpu,budget,"APU Ryzen 5 basada en Zen 3 Cezanne para plataforma AM4. Integra 6 núcleos y 12 hilos, frecuencia base de 3.6 GHz, boost de hasta 4.4 GHz, 19 MB de caché total L2+L3, TDP de 65 W, DDR4-3200, PCIe 3.0, gráficos integrados Radeon de 7 núcleos y disipador Wraith Stealth incluido.",125,2024-01-08,2024,"{""pcie"":3,""socket"":""AM4"",""chipsets"":""A320, B350, X370, A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":65,""cache"":{""l1"":384,""l2"":3072,""l3"":16384},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 3 (Cezanne)"",""base_frequency"":3.6,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":4.4}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos integrados Radeon de 7 núcleos a 1900 MHz para salida de vídeo y gaming ligero.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para la APU Cezanne.""},{""name"":""PCIe 3.0 Support"",""description"":""Soporte PCI Express 3.0 para tarjetas y almacenamiento compatibles.""},{""name"":""Wraith Stealth Cooler"",""description"":""Disipador AMD Wraith Stealth incluido en la caja.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":19007,""cinebench_multi"":9863,""geekbench_single"":2024}","[""Zen 3"",""AM4"",""DDR4"",""APU"",""Radeon Graphics"",""6 Cores""]",2026-08-16 19:32:00+00,115.00
cpu-amd-ryzen-5600,amd-ryzen-5-5600,gaming,AMD Ryzen 5 5600,AMD,cpu,mid-range,"Procesador de escritorio de gama media de AMD, basado en la arquitectura Zen 3 de 7nm. Ofrece 6 núcleos y 12 hilos con una frecuencia base de 3.5 GHz y turbo de hasta 4.4 GHz, con 35 MB de caché total (L2+L3). Representa una de las opciones de mejor valor para builds gaming económicas en plataforma AM4, requiriendo tarjeta gráfica dedicada.",199.00,2022-04-04,2022,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":65,""cache"":{""l1"":384,""l2"":3072,""l3"":32768},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.5,""efficency_cores"":0,""power_turbo_max"":76,""turbo_frequency"":4.4}","[{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga y temperatura.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación de alta eficiencia energética.""},{""name"":""Unlocked for Overclocking"",""description"":""Permite ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para procesar 2 hilos por núcleo.""},{""name"":""AMD-V"",""description"":""Tecnología de virtualización por hardware.""}]","{""passmark_score"":21570,""cinebench_multi"":11450,""geekbench_single"":1620}","[""Zen 3"",""AM4"",""Budget Gaming"",""Best Value"",""6 Cores""]",2026-05-03 17:06:12.856271+00,183.08
cpu-amd-ryzen-5600gt,amd-ryzen-5-5600gt,gaming,AMD Ryzen 5 5600GT,AMD,cpu,budget,"APU Ryzen 5 basada en Zen 3 Cezanne para plataforma AM4. Ofrece 6 núcleos y 12 hilos, frecuencia base de 3.6 GHz, boost de hasta 4.6 GHz, 19 MB de caché total L2+L3, TDP de 65 W, DDR4-3200, PCIe 3.0, gráficos integrados Radeon de 7 núcleos y disipador Wraith Stealth incluido.",140,2024-01-08,2024,"{""pcie"":3,""socket"":""AM4"",""chipsets"":""A320, B350, X370, A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":65,""cache"":{""l1"":384,""l2"":3072,""l3"":16384},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 3 (Cezanne)"",""base_frequency"":3.6,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":4.6}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos integrados Radeon de 7 núcleos a 1900 MHz para salida de vídeo y gaming ligero.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para la APU Cezanne.""},{""name"":""PCIe 3.0 Support"",""description"":""Soporte PCI Express 3.0 para tarjetas y almacenamiento compatibles.""},{""name"":""Wraith Stealth Cooler"",""description"":""Disipador AMD Wraith Stealth incluido en la caja.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":20129,""cinebench_multi"":10953,""geekbench_single"":2214}","[""Zen 3"",""AM4"",""DDR4"",""APU"",""Radeon Graphics"",""6 Cores""]",2026-08-16 19:32:00+00,128.80
cpu-amd-ryzen-5600x,amd-ryzen-5-5600x,gaming,AMD Ryzen 5 5600X,AMD,cpu,mid-range,"CPU de escritorio de gama media de AMD, basado en la arquitectura Zen 3. Con 6 núcleos y 12 hilos, frecuencias de hasta 4.6 GHz y 35 MB de caché, ofrece un excelente rendimiento en juegos y aplicaciones. No incluye gráficos integrados, por lo que necesita una GPU dedicada. Se ha consolidado como una de las mejores opciones calidad-precio de su generación.",299.00,2020-11-05,2020,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":65,""cache"":{""l1"":384,""l2"":3072,""l3"":32768},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.7,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":4.6}","[{""name"":""Precision Boost 2"",""description"":""Optimiza el rendimiento según carga y temperatura.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente.""},{""name"":""Unlocked for Overclocking"",""description"":""Permite aumentar frecuencia fácilmente.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading: ejecuta dos hilos por núcleo para mejorar el rendimiento en multitarea.""},{""name"":""AMD-V"",""description"":""Tecnología de virtualización de AMD que permite ejecutar múltiples sistemas operativos de forma eficiente.""}]","{""passmark_score"":21911,""cinebench_multi"":12000,""geekbench_single"":1700}","[""Zen 3"",""AM4"",""Budget Gaming"",""Best Value"",""6 Cores""]",2026-05-03 17:06:12.856271+00,275.08
cpu-amd-ryzen-5700x,amd-ryzen-7-5700x,gaming,AMD Ryzen 7 5700X,AMD,cpu,high-end,"Procesador Ryzen 7 de escritorio basado en Zen 3 Vermeer para plataforma AM4. Cuenta con 8 núcleos y 16 hilos, frecuencia base de 3.4 GHz, boost de hasta 4.6 GHz, 36 MB de caché total L2+L3, TDP de 65 W, DDR4-3200 y PCIe 4.0; requiere GPU dedicada.",299,2022-04-04,2022,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A320, B350, X370, A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":65,""cache"":{""l1"":512,""l2"":4096,""l3"":32768},""cores"":8,""threads"":16,""power_base"":65,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.4,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":4.6}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""Precision Boost Overdrive"",""description"":""Permite elevar límites de potencia y boost cuando la placa y la refrigeración lo permiten.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para chiplets Zen 3.""},{""name"":""PCIe 4.0 Support"",""description"":""Soporte PCI Express 4.0 para GPU y almacenamiento NVMe compatible.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":26563,""cinebench_multi"":13714,""geekbench_single"":2016}","[""Zen 3"",""AM4"",""DDR4"",""65W"",""Vermeer"",""8 Cores""]",2026-08-16 19:32:00+00,275.08
cpu-amd-ryzen-5700x3d,amd-ryzen-7-5700x3d,gaming,AMD Ryzen 7 5700X3D,AMD,cpu,high-end,"Procesador gaming de 8 núcleos y 16 hilos para plataforma AM4 con tecnología revolucionaria AMD 3D V-Cache, sumando un total de 96 MB de caché L3. Diseñado específicamente para maximizar la tasa de fotogramas por segundo en juegos, ofreciendo rendimiento de nivel entusiasta en placas AM4 existentes sin necesidad de cambiar a DDR5.",249.00,2024-01-31,2024,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":105,""cache"":{""l1"":512,""l2"":4096,""l3"":98304},""cores"":8,""threads"":16,""power_base"":105,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3,""efficency_cores"":0,""power_turbo_max"":142,""turbo_frequency"":4.1}","[{""name"":""AMD 3D V-Cache Technology"",""description"":""Incrustación vertical de memoria caché L3 de 64MB sobre el die para un total de 96MB, reduciendo drásticamente la latencia en juegos.""},{""name"":""Precision Boost 2"",""description"":""Ajuste dinámico de frecuencias optimizado para mantener temperaturas estables.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente de 7nm.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para 16 hilos de procesamiento.""}]","{""passmark_score"":26800,""cinebench_multi"":13500,""geekbench_single"":1820}","[""Zen 3"",""3D V-Cache"",""AM4"",""Gaming CPU"",""8 Cores""]",2026-05-03 17:06:12.856271+00,229.08
cpu-amd-ryzen-5800x,amd-ryzen-7-5800x,gaming,AMD Ryzen 7 5800X,AMD,cpu,high-end,"Procesador Ryzen 7 de escritorio basado en Zen 3 Vermeer para plataforma AM4. Integra 8 núcleos y 16 hilos, frecuencia base de 3.8 GHz, boost de hasta 4.7 GHz, 36 MB de caché total L2+L3, soporte DDR4-3200 y PCIe 4.0; requiere tarjeta gráfica dedicada.",449,2020-11-05,2020,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":105,""cache"":{""l1"":512,""l2"":4096,""l3"":32768},""cores"":8,""threads"":16,""power_base"":105,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.8,""efficency_cores"":0,""power_turbo_max"":142,""turbo_frequency"":4.7}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""Precision Boost Overdrive"",""description"":""Permite elevar límites de potencia y boost cuando la placa y la refrigeración lo permiten.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para chiplets Zen 3.""},{""name"":""PCIe 4.0 Support"",""description"":""Soporte PCI Express 4.0 para GPU y almacenamiento NVMe compatible.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":27663,""cinebench_multi"":15228,""geekbench_single"":2032}","[""Zen 3"",""AM4"",""DDR4"",""PCIe 4.0"",""Vermeer"",""8 Cores""]",2026-08-16 19:32:00+00,449
cpu-amd-ryzen-5800x3d,amd-ryzen-7-5800x3d,gaming,AMD Ryzen 7 5800X3D,AMD,cpu,high-end,"Procesador Ryzen 7 X3D basado en Zen 3 Vermeer con AMD 3D V-Cache. Ofrece 8 núcleos y 16 hilos, frecuencia base de 3.4 GHz, boost de hasta 4.5 GHz, 100 MB de caché total L2+L3, soporte DDR4-3200 y PCIe 4.0; requiere GPU dedicada.",449,2022-04-20,2022,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":105,""cache"":{""l1"":512,""l2"":4096,""l3"":98304},""cores"":8,""threads"":16,""power_base"":105,""architecture"":""Zen 3 (Vermeer X3D)"",""base_frequency"":3.4,""efficency_cores"":0,""power_turbo_max"":142,""turbo_frequency"":4.5}","[{""name"":""AMD 3D V-Cache Technology"",""description"":""Caché L3 apilada para aumentar el rendimiento en juegos y cargas sensibles a caché.""},{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para chiplets Zen 3.""},{""name"":""PCIe 4.0 Support"",""description"":""Soporte PCI Express 4.0 para GPU y almacenamiento NVMe compatible.""},{""name"":""AMD Ryzen VR-Ready Premium"",""description"":""Certificación para experiencias de realidad virtual de alto rendimiento.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":28289,""cinebench_multi"":15125,""geekbench_single"":2017}","[""Zen 3"",""3D V-Cache"",""AM4"",""DDR4"",""Gaming"",""8 Cores""]",2026-08-16 19:32:00+00,489
cpu-amd-ryzen-5900x,amd-ryzen-9-5900x,gaming,AMD Ryzen 9 5900X,AMD,cpu,enthusiast,"Procesador Ryzen 9 de escritorio basado en Zen 3 Vermeer para gaming avanzado, streaming y productividad. Combina 12 núcleos y 24 hilos, frecuencia base de 3.7 GHz, boost de hasta 4.8 GHz, 70 MB de caché total L2+L3, DDR4-3200 y PCIe 4.0; requiere GPU dedicada.",549,2020-11-05,2020,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":105,""cache"":{""l1"":768,""l2"":6144,""l3"":65536},""cores"":12,""threads"":24,""power_base"":105,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.7,""efficency_cores"":0,""power_turbo_max"":142,""turbo_frequency"":4.8}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""Precision Boost Overdrive"",""description"":""Permite elevar límites de potencia y boost cuando la placa y la refrigeración lo permiten.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para chiplets Zen 3.""},{""name"":""PCIe 4.0 Support"",""description"":""Soporte PCI Express 4.0 para GPU y almacenamiento NVMe compatible.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":38889,""cinebench_multi"":21878,""geekbench_single"":2083}","[""Zen 3"",""AM4"",""DDR4"",""PCIe 4.0"",""Ryzen 9"",""12 Cores""]",2026-08-16 19:32:00+00,549
cpu-amd-ryzen-5950x,amd-ryzen-9-5950x,gaming,AMD Ryzen 9 5950X,AMD,cpu,enthusiast,"Procesador insignia Ryzen 9 basado en Zen 3 Vermeer para gaming extremo, renderizado y productividad pesada. Integra 16 núcleos y 32 hilos, frecuencia base de 3.4 GHz, boost de hasta 4.9 GHz, 72 MB de caché total L2+L3, DDR4-3200 y PCIe 4.0; requiere GPU dedicada.",799,2020-11-05,2020,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":105,""cache"":{""l1"":1024,""l2"":8192,""l3"":65536},""cores"":16,""threads"":32,""power_base"":105,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.4,""efficency_cores"":0,""power_turbo_max"":142,""turbo_frequency"":4.9}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""Precision Boost Overdrive"",""description"":""Permite elevar límites de potencia y boost cuando la placa y la refrigeración lo permiten.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para chiplets Zen 3.""},{""name"":""PCIe 4.0 Support"",""description"":""Soporte PCI Express 4.0 para GPU y almacenamiento NVMe compatible.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":45264,""cinebench_multi"":28641,""geekbench_single"":2083}","[""Zen 3"",""AM4"",""DDR4"",""PCIe 4.0"",""Flagship"",""16 Cores""]",2026-08-16 19:32:00+00,799
