id,slug,market_segment,name,brand,type,category,description,price_base_usd,release_date,release_year,compatibility,specs,technologies,benchmarks,tags,created_at,price_base_eur
ssd-870-evo-1tb,samsung-870-evo-1tb,mainstream,"Samsung 870 EVO 1TB 2.5"" SATA III SSD",Samsung,storage,sata,El SATA más vendido y fiable. Referencia absoluta. Ofrece velocidades de lectura y escritura secuencial de hasta 560 MB/s y 530 MB/s con controlador MKX y memoria Samsung V-NAND 3D TLC.,109.99,2021-01-20,2021,"{""form_factor"":""2.5-inch"",""pcie_generation"":0}","{""tbw"":600,""capacity"":1000,""nand_type"":""Samsung V-NAND 3D TLC"",""read_speed"":560,""write_speed"":530,""energy_per_gb"":0.8}","[{""name"":""Intelligent TurboWrite"",""description"":""Mantiene altas velocidades de escritura continua con un búfer de caché adaptativo.""},{""name"":""Samsung MKX Controller"",""description"":""Controlador propietario diseñado para maximizar el rendimiento de la interfaz SATA III.""}]","{""max_temp_c"":55,""crystal_disk_read"":560,""crystal_disk_write"":530}","[""SATA"",""2.5-inch"",""Mainstream"",""600 TBW"",""Samsung V-NAND""]",2026-05-03 17:18:00+00,99.99
ssd-870-qvo-1tb,samsung-870-qvo-1tb,budget-entry,"Samsung 870 QVO 1TB 2.5"" SATA III SSD",Samsung,storage,sata,Versión QLC (más económica) con gran capacidad. Ofrece hasta 560 MB/s de lectura y 530 MB/s de escritura secuencial con un búfer SLC dinámico ampliado para cargas de trabajo masivas.,109.99,2020-06-30,2020,"{""form_factor"":""2.5-inch"",""pcie_generation"":0}","{""tbw"":360,""capacity"":1000,""nand_type"":""Samsung V-NAND 4-bit QLC"",""read_speed"":560,""write_speed"":530,""energy_per_gb"":0.8}","[{""name"":""Intelligent TurboWrite 2.0"",""description"":""Búfer SLC ampliado que mejora la velocidad de escritura sostenida.""},{""name"":""Samsung MKX Controller"",""description"":""Controlador optimizado para gestionar de forma eficiente celdas de memoria QLC.""}]","{""max_temp_c"":55,""crystal_disk_read"":558,""crystal_disk_write"":525}","[""SATA"",""2.5-inch"",""QLC"",""Budget Entry"",""360 TBW""]",2026-05-03 17:18:01+00,99.99
ssd-9100pro,ssd-9100-pro-1tb,ultra-high-performance,NVMe M.2 PCIe 5.0 SSD 1TB 9100 PRO,Samsung,storage,nvme,"SSD NVMe PCIe 5.0 de máximo rendimiento, ideal para IA, edición de video 8K y gaming de última generación. Alcanza velocidades de lectura secuencial de hasta 14.800 MB/s, siendo compatible con PC de escritorio, laptops y PlayStation 5. Capacidad de 1TB que duplica el rendimiento de la serie 990 PRO, con controlador de 5nm mejorando la eficiencia energética.",199.99,2025-02-25,2025,"{""form_factor"":""M.2 2280"",""pcie_generation"":5}","{""tbw"":600,""capacity"":1000,""nand_type"":""Samsung V-NAND TLC"",""read_speed"":14800,""write_speed"":13300,""energy_per_gb"":0.2}","[{""name"":""Intelligent TurboWrite 2.0"",""description"":""Tecnología de caché SLC dinámica mejorada para alto rendimiento sostenido.""},{""name"":""Dynamic Thermal Guard"",""description"":""Protección térmica avanzada para evitar el estrangulamiento térmico.""}]","{""max_temp_c"":70,""crystal_disk_read"":14500,""crystal_disk_write"":13000}","[""NVMe"",""PCIe 5.0"",""Ultra High Performance"",""AI Computing"",""8K Video Editing""]",2026-05-03 17:17:06.297473+00,183.99
ssd-970-evo-plus-1tb,samsung-970-evo-plus-1tb,budget-entry,Samsung 970 EVO Plus 1TB NVMe M.2 SSD,Samsung,storage,nvme,Todavía muy comprado para actualizar equipos con ranura PCIe 3.0. Ofrece velocidades de lectura secuencial de hasta 3.500 MB/s y escritura de 3.300 MB/s con tecnología Samsung V-NAND 3-bit MLC.,149.99,2019-01-22,2019,"{""form_factor"":""M.2 2280"",""pcie_generation"":3}","{""tbw"":600,""capacity"":1000,""nand_type"":""Samsung V-NAND 3-bit MLC"",""read_speed"":3500,""write_speed"":3300,""energy_per_gb"":0.6}","[{""name"":""Intelligent TurboWrite"",""description"":""Acelera las velocidades de escritura y mantiene un alto rendimiento constante.""},{""name"":""Dynamic Thermal Guard"",""description"":""Monitorea y mantiene temperaturas óptimas para minimizar caídas de rendimiento.""}]","{""max_temp_c"":70,""crystal_disk_read"":3550,""crystal_disk_write"":3270}","[""NVMe"",""PCIe 3.0"",""Budget Entry"",""M.2 2280"",""600 TBW""]",2026-05-03 17:17:20+00,139.99
ssd-adata-legend-800-1tb,adata-legend-800-1tb,budget,ADATA Legend 800 1TB NVMe M.2 PCIe 4.0 SSD,ADATA,storage,nvme,"SSD NVMe M.2 2280 PCIe 4.0 x4 de entrada. La versión de 1TB alcanza hasta 3.500 MB/s de lectura secuencial y 2.200 MB/s de escritura secuencial, usa 3D NAND, diseño sin DRAM orientado a bajo coste, soporte NVMe 1.4 y 600 TBW de resistencia.",94.71,2023-03-14,2023,"{""form_factor"":""M.2 2280"",""pcie_generation"":4}","{""tbw"":600,""capacity"":1000,""protocol"":""NVMe 1.4"",""interface"":""PCIe 4.0 x4"",""nand_type"":""3D NAND"",""dram_cache"":false,""read_speed"":3500,""write_speed"":2200,""energy_per_gb"":null}","[{""name"":""SLC Caching"",""description"":""Caché SLC dinámica para mejorar escrituras de ráfaga.""},{""name"":""LDPC ECC"",""description"":""Corrección de errores LDPC para mejorar integridad de datos y vida útil.""},{""name"":""ADATA SSD Toolbox"",""description"":""Software para monitorización, estado SMART y gestión del SSD.""},{""name"":""Low-Profile Heat Spreader"",""description"":""Disipador fino incluido para mejorar disipación térmica sin aumentar mucho la altura.""},{""name"":""5-Year Limited Warranty"",""description"":""Garantía limitada de 5 años o hasta alcanzar el límite TBW.""}]","{""max_temp_c"":70,""crystal_disk_read"":3500,""crystal_disk_write"":2200}","[""NVMe"",""PCIe 4.0"",""M.2 2280"",""ADATA"",""Legend 800"",""1TB"",""DRAM-less"",""Budget""]",2026-08-17 15:31:00+00,87.13
ssd-corsair-mp600-pro-1tb,corsair-mp600-pro-1tb,high-performance,Corsair MP600 PRO 1TB NVMe M.2 PCIe 4.0 SSD,Corsair,storage,nvme,"SSD NVMe M.2 2280 PCIe 4.0 x4 de alto rendimiento con disipador incluido. La versión de 1TB alcanza hasta 7.000 MB/s de lectura secuencial y 5.500 MB/s de escritura secuencial, usa NAND 3D TLC, controlador Phison E18 con DRAM, NVMe 1.4 y 700 TBW.",199.99,2021-01-28,2021,"{""form_factor"":""M.2 2280"",""pcie_generation"":4}","{""tbw"":700,""capacity"":1000,""protocol"":""NVMe 1.4"",""interface"":""PCIe 4.0 x4"",""nand_type"":""3D TLC NAND"",""dram_cache"":true,""read_speed"":7000,""write_speed"":5500,""energy_per_gb"":null}","[{""name"":""Aluminum Heatsink Included"",""description"":""Disipador de aluminio incluido para ayudar a mantener rendimiento sostenido.""},{""name"":""Phison E18 Controller"",""description"":""Controlador PCIe 4.0 de alto rendimiento usado en SSD Gen4 entusiastas.""},{""name"":""DRAM Cache"",""description"":""Caché DRAM dedicada para mejorar consistencia y rendimiento sostenido.""},{""name"":""Corsair SSD Toolbox"",""description"":""Herramienta para información del SSD, borrado seguro, actualización y salud.""},{""name"":""5-Year Limited Warranty"",""description"":""Garantía limitada de 5 años o hasta alcanzar el límite TBW.""}]","{""max_temp_c"":70,""crystal_disk_read"":7000,""crystal_disk_write"":5500}","[""NVMe"",""PCIe 4.0"",""M.2 2280"",""Corsair"",""MP600 PRO"",""1TB"",""TLC"",""DRAM"",""Heatsink""]",2026-08-17 15:31:00+00,183.99
ssd-corsair-mp600-pro-2tb,corsair-mp600-pro-2tb,high-performance,Corsair MP600 PRO 2TB NVMe M.2 PCIe 4.0 SSD,Corsair,storage,nvme,"SSD NVMe M.2 2280 PCIe 4.0 x4 de alto rendimiento con disipador incluido. La versión de 2TB alcanza hasta 7.000 MB/s de lectura secuencial y 6.550 MB/s de escritura secuencial, usa NAND 3D TLC, controlador Phison E18 con DRAM, NVMe 1.4 y 1.400 TBW.",399.99,2021-01-28,2021,"{""form_factor"":""M.2 2280"",""pcie_generation"":4}","{""tbw"":1400,""capacity"":2000,""protocol"":""NVMe 1.4"",""interface"":""PCIe 4.0 x4"",""nand_type"":""3D TLC NAND"",""dram_cache"":true,""read_speed"":7000,""write_speed"":6550,""energy_per_gb"":null}","[{""name"":""Aluminum Heatsink Included"",""description"":""Disipador de aluminio incluido para ayudar a mantener rendimiento sostenido.""},{""name"":""Phison E18 Controller"",""description"":""Controlador PCIe 4.0 de alto rendimiento usado en SSD Gen4 entusiastas.""},{""name"":""DRAM Cache"",""description"":""Caché DRAM dedicada para mejorar consistencia y rendimiento sostenido.""},{""name"":""Corsair SSD Toolbox"",""description"":""Herramienta para información del SSD, borrado seguro, actualización y salud.""},{""name"":""5-Year Limited Warranty"",""description"":""Garantía limitada de 5 años o hasta alcanzar el límite TBW.""}]","{""max_temp_c"":70,""crystal_disk_read"":7000,""crystal_disk_write"":6550}","[""NVMe"",""PCIe 4.0"",""M.2 2280"",""Corsair"",""MP600 PRO"",""2TB"",""TLC"",""DRAM"",""Heatsink""]",2026-08-17 15:31:00+00,367.99
ssd-crucial-mx500-1tb,crucial-mx500-1tb,mainstream,"Crucial MX500 1TB 2.5"" SATA III SSD",Crucial,storage,sata,"El competidor más directo del 870 EVO, con DRAM y gran fiabilidad. Alcanza hasta 560 MB/s de lectura y 510 MB/s de escritura secuencial con protección contra pérdida de energía integrada.",99.99,2017-12-19,2017,"{""form_factor"":""2.5-inch"",""pcie_generation"":0}","{""tbw"":360,""capacity"":1000,""nand_type"":""Micron 3D TLC NAND"",""read_speed"":560,""write_speed"":510,""energy_per_gb"":0.8}","[{""name"":""Dynamic Write Acceleration"",""description"":""Aceleración de escritura mediante grupo de memoria flash mononivel de alta velocidad.""},{""name"":""Integrated Power Loss Immunity"",""description"":""Protección integrada contra pérdida de alimentación eléctrica repentina.""}]","{""max_temp_c"":52,""crystal_disk_read"":560,""crystal_disk_write"":510}","[""SATA"",""2.5-inch"",""Mainstream"",""DRAM Cache"",""360 TBW""]",2026-05-03 17:18:02+00,89.99
ssd-crucial-p3-1tb,crucial-p3-1tb,budget-entry,Crucial P3 1TB NVMe M.2 SSD,Crucial,storage,nvme,"La versión PCIe 3.0 del P3, muy popular por precio. Ofrece velocidades de lectura secuencial de hasta 3.500 MB/s y escritura de hasta 3.000 MB/s respaldadas por tecnología Micron Advanced 3D NAND.",89.99,2022-07-06,2022,"{""form_factor"":""M.2 2280"",""pcie_generation"":3}","{""tbw"":220,""capacity"":1000,""nand_type"":""Micron 176-layer 3D QLC"",""read_speed"":3500,""write_speed"":3000,""energy_per_gb"":0.5}","[{""name"":""Micron 3D QLC NAND"",""description"":""Alta densidad de almacenamiento económica para cargas de trabajo cotidianas.""},{""name"":""Dynamic Write Acceleration"",""description"":""Caché SLC dinámica para acelerar transferencias frecuentes.""}]","{""max_temp_c"":65,""crystal_disk_read"":3520,""crystal_disk_write"":3010}","[""NVMe"",""PCIe 3.0"",""Budget Entry"",""M.2 2280"",""220 TBW""]",2026-05-03 17:17:22+00,84.99
ssd-crucial-p3-plus-1tb,crucial-p3-plus-1tb,budget,Crucial P3 Plus 1TB NVMe M.2 PCIe 4.0 SSD,Crucial,storage,nvme,"SSD NVMe M.2 2280 PCIe 4.0 x4 de entrada con precio agresivo. La versión de 1TB alcanza hasta 5.000 MB/s de lectura secuencial y 3.600 MB/s de escritura secuencial, usa NAND Micron 3D QLC, diseño sin DRAM con Host Memory Buffer y ofrece 220 TBW de resistencia.",99.99,2022-07-26,2022,"{""form_factor"":""M.2 2280"",""pcie_generation"":4}","{""tbw"":220,""capacity"":1000,""protocol"":""NVMe"",""interface"":""PCIe 4.0 x4"",""nand_type"":""Micron 3D QLC NAND"",""dram_cache"":false,""read_speed"":5000,""write_speed"":3600,""energy_per_gb"":null}","[{""name"":""Host Memory Buffer"",""description"":""Usa memoria del sistema para compensar parcialmente el diseño sin DRAM dedicada.""},{""name"":""Dynamic Write Acceleration"",""description"":""Caché SLC dinámica para acelerar escrituras de ráfaga.""},{""name"":""Crucial Storage Executive"",""description"":""Software de monitorización, firmware y gestión del SSD.""},{""name"":""5-Year Limited Warranty"",""description"":""Garantía limitada de 5 años o hasta alcanzar el límite TBW.""},{""name"":""PCIe 4.0 x4"",""description"":""Interfaz NVMe Gen4 compatible con plataformas PCIe 4.0 y retrocompatible.""}]","{""max_temp_c"":70,""crystal_disk_read"":5000,""crystal_disk_write"":3600}","[""NVMe"",""PCIe 4.0"",""M.2 2280"",""Crucial"",""P3 Plus"",""1TB"",""QLC"",""DRAM-less"",""Budget""]",2026-08-17 15:31:00+00,125.00
