id,slug,market_segment,name,brand,type,category,description,price_base_usd,release_date,release_year,compatibility,specs,technologies,benchmarks,tags,created_at,price_base_eur
cpu-amd-ryzen-5500gt,amd-ryzen-5-5500gt,gaming,AMD Ryzen 5 5500GT,AMD,cpu,budget,"APU Ryzen 5 basada en Zen 3 Cezanne para plataforma AM4. Integra 6 núcleos y 12 hilos, frecuencia base de 3.6 GHz, boost de hasta 4.4 GHz, 19 MB de caché total L2+L3, TDP de 65 W, DDR4-3200, PCIe 3.0, gráficos integrados Radeon de 7 núcleos y disipador Wraith Stealth incluido.",125,2024-01-08,2024,"{""pcie"":3,""socket"":""AM4"",""chipsets"":""A320, B350, X370, A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":65,""cache"":{""l1"":384,""l2"":3072,""l3"":16384},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 3 (Cezanne)"",""base_frequency"":3.6,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":4.4}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos integrados Radeon de 7 núcleos a 1900 MHz para salida de vídeo y gaming ligero.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para la APU Cezanne.""},{""name"":""PCIe 3.0 Support"",""description"":""Soporte PCI Express 3.0 para tarjetas y almacenamiento compatibles.""},{""name"":""Wraith Stealth Cooler"",""description"":""Disipador AMD Wraith Stealth incluido en la caja.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":19007,""cinebench_multi"":9863,""geekbench_single"":2024}","[""Zen 3"",""AM4"",""DDR4"",""APU"",""Radeon Graphics"",""6 Cores""]",2026-08-16 19:32:00+00,115.00
cpu-amd-ryzen-5600,amd-ryzen-5-5600,gaming,AMD Ryzen 5 5600,AMD,cpu,mid-range,"Procesador de escritorio de gama media de AMD, basado en la arquitectura Zen 3 de 7nm. Ofrece 6 núcleos y 12 hilos con una frecuencia base de 3.5 GHz y turbo de hasta 4.4 GHz, con 35 MB de caché total (L2+L3). Representa una de las opciones de mejor valor para builds gaming económicas en plataforma AM4, requiriendo tarjeta gráfica dedicada.",199.00,2022-04-04,2022,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":65,""cache"":{""l1"":384,""l2"":3072,""l3"":32768},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.5,""efficency_cores"":0,""power_turbo_max"":76,""turbo_frequency"":4.4}","[{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga y temperatura.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación de alta eficiencia energética.""},{""name"":""Unlocked for Overclocking"",""description"":""Permite ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para procesar 2 hilos por núcleo.""},{""name"":""AMD-V"",""description"":""Tecnología de virtualización por hardware.""}]","{""passmark_score"":21570,""cinebench_multi"":11450,""geekbench_single"":1620}","[""Zen 3"",""AM4"",""Budget Gaming"",""Best Value"",""6 Cores""]",2026-05-03 17:06:12.856271+00,183.08
cpu-amd-ryzen-5700x3d,amd-ryzen-7-5700x3d,gaming,AMD Ryzen 7 5700X3D,AMD,cpu,high-end,"Procesador gaming de 8 núcleos y 16 hilos para plataforma AM4 con tecnología revolucionaria AMD 3D V-Cache, sumando un total de 96 MB de caché L3. Diseñado específicamente para maximizar la tasa de fotogramas por segundo en juegos, ofreciendo rendimiento de nivel entusiasta en placas AM4 existentes sin necesidad de cambiar a DDR5.",249.00,2024-01-31,2024,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":105,""cache"":{""l1"":512,""l2"":4096,""l3"":98304},""cores"":8,""threads"":16,""power_base"":105,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3,""efficency_cores"":0,""power_turbo_max"":142,""turbo_frequency"":4.1}","[{""name"":""AMD 3D V-Cache Technology"",""description"":""Incrustación vertical de memoria caché L3 de 64MB sobre el die para un total de 96MB, reduciendo drásticamente la latencia en juegos.""},{""name"":""Precision Boost 2"",""description"":""Ajuste dinámico de frecuencias optimizado para mantener temperaturas estables.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente de 7nm.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para 16 hilos de procesamiento.""}]","{""passmark_score"":26800,""cinebench_multi"":13500,""geekbench_single"":1820}","[""Zen 3"",""3D V-Cache"",""AM4"",""Gaming CPU"",""8 Cores""]",2026-05-03 17:06:12.856271+00,229.08
cpu-amd-ryzen-5950x,amd-ryzen-9-5950x,gaming,AMD Ryzen 9 5950X,AMD,cpu,enthusiast,"Procesador insignia Ryzen 9 basado en Zen 3 Vermeer para gaming extremo, renderizado y productividad pesada. Integra 16 núcleos y 32 hilos, frecuencia base de 3.4 GHz, boost de hasta 4.9 GHz, 72 MB de caché total L2+L3, DDR4-3200 y PCIe 4.0; requiere GPU dedicada.",799,2020-11-05,2020,"{""pcie"":4,""socket"":""AM4"",""chipsets"":""A520, B450, B550, X470, X570"",""ram_type"":""DDR4"",""ram_frecuency"":3200,""ram_max_support"":128}","{""tdp"":105,""cache"":{""l1"":1024,""l2"":8192,""l3"":65536},""cores"":16,""threads"":32,""power_base"":105,""architecture"":""Zen 3 (Vermeer)"",""base_frequency"":3.4,""efficency_cores"":0,""power_turbo_max"":142,""turbo_frequency"":4.9}","[{""name"":""Zen 3 Architecture"",""description"":""Arquitectura AMD Zen 3 de 7 nm con alto IPC para juegos y productividad.""},{""name"":""Precision Boost 2"",""description"":""Optimiza automáticamente las frecuencias según carga, temperatura y margen eléctrico.""},{""name"":""Precision Boost Overdrive"",""description"":""Permite elevar límites de potencia y boost cuando la placa y la refrigeración lo permiten.""},{""name"":""AMD StoreMI"",""description"":""Acelera el almacenamiento combinando SSD y HDD compatibles.""},{""name"":""TSMC 7nm FinFET"",""description"":""Proceso de fabricación eficiente para chiplets Zen 3.""},{""name"":""PCIe 4.0 Support"",""description"":""Soporte PCI Express 4.0 para GPU y almacenamiento NVMe compatible.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""SMT"",""description"":""Simultaneous Multithreading para ejecutar dos hilos por núcleo.""}]","{""passmark_score"":45264,""cinebench_multi"":28641,""geekbench_single"":2083}","[""Zen 3"",""AM4"",""DDR4"",""PCIe 4.0"",""Flagship"",""16 Cores""]",2026-08-16 19:32:00+00,799
cpu-amd-ryzen-7600,amd-ryzen-5-7600,gaming,AMD Ryzen 5 7600,AMD,cpu,mid-range,"Procesador de escritorio de 6 núcleos y 12 hilos basado en la arquitectura Zen 4 de 5nm para el socket AM5. Con frecuencia base de 3.8 GHz y turbo de hasta 5.1 GHz, soporte nativo para DDR5 y PCIe 5.0, e iGPU AMD Radeon Graphics integrada de 2 CUs. Ofrece un rendimiento excelente en juegos de última generación con bajo consumo de 65W.",229.00,2023-01-14,2023,"{""pcie"":5,""socket"":""AM5"",""chipsets"":""A620, B650, B650E, X670, X670E, B850, X870"",""ram_type"":""DDR5"",""ram_frecuency"":5200,""ram_max_support"":192}","{""tdp"":65,""cache"":{""l1"":384,""l2"":6144,""l3"":32768},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 4 (Raphael)"",""base_frequency"":3.8,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":5.1}","[{""name"":""AMD EXPO"",""description"":""Perfiles extendidos para acelerar la memoria DDR5 con overclocking de un solo clic.""},{""name"":""Precision Boost 2"",""description"":""Ajusta las frecuencias de forma dinámica para rendimiento máximo.""},{""name"":""TSMC 5nm Process"",""description"":""Proceso litográfico avanzado para mayor eficiencia energética.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos integrados RDNA 2 con 2 CUs para salida de video y soporte multimedia.""},{""name"":""PCIe 5.0 Support"",""description"":""Soporte de nueva generación para GPUs y SSDs NVMe de ultra alta velocidad.""}]","{""passmark_score"":27400,""cinebench_multi"":14200,""geekbench_single"":2050}","[""Zen 4"",""AM5"",""DDR5"",""PCIe 5.0"",""Mid-Range Gaming"",""6 Cores""]",2026-05-03 17:06:12.856271+00,210.68
cpu-amd-ryzen-7800x3d,amd-ryzen-7-7800x3d,gaming,AMD Ryzen 7 7800X3D,AMD,cpu,enthusiast,"El procesador gaming definitivo basado en la arquitectura Zen 4 para socket AM5. Con 8 núcleos, 16 hilos y 96 MB de caché L3 3D V-Cache, ofrece el máximo rendimiento en juegos a 1080p y 1440p con una eficiencia energética insuperable de 120W TDP. Compatible con DDR5 y PCIe 5.0.",449.00,2023-04-06,2023,"{""pcie"":5,""socket"":""AM5"",""chipsets"":""A620, B650, B650E, X670, X670E, B850, X870"",""ram_type"":""DDR5"",""ram_frecuency"":5200,""ram_max_support"":192}","{""tdp"":120,""cache"":{""l1"":512,""l2"":8192,""l3"":98304},""cores"":8,""threads"":16,""power_base"":120,""architecture"":""Zen 4 (Raphael)"",""base_frequency"":4.2,""efficency_cores"":0,""power_turbo_max"":162,""turbo_frequency"":5}","[{""name"":""AMD 3D V-Cache Technology"",""description"":""Añade 64MB de caché L3 apilada en 3D para alcanzar 96MB de caché L3 superrápida.""},{""name"":""AMD EXPO"",""description"":""Overclocking de memoria DDR5 fácil y optimizado.""},{""name"":""Precision Boost 2"",""description"":""Optimización automática de frecuencia basada en límites térmicos y eléctricos.""},{""name"":""TSMC 5nm Process"",""description"":""Litografía de última generación para máxima potencia y eficiencia.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos RDNA 2 integrados para diagnóstico y uso básico.""}]","{""passmark_score"":34300,""cinebench_multi"":18100,""geekbench_single"":2720}","[""Zen 4"",""3D V-Cache"",""AM5"",""Best Gaming CPU"",""Enthusiast"",""8 Cores""]",2026-05-03 17:06:12.856271+00,413.08
cpu-amd-ryzen-8600g,amd-ryzen-5-8600g,gaming,AMD Ryzen 5 8600G,AMD,cpu,mid-range,"APU Ryzen 5 de escritorio basada en Zen 4 Phoenix para plataforma AM5. Ofrece 6 núcleos y 12 hilos, frecuencia base de 4.3 GHz, boost de hasta 5.0 GHz, 22 MB de caché total L2+L3, TDP de 65 W, DDR5-5200, PCIe 4.0, gráficos Radeon 760M de 8 núcleos RDNA 3 y motor AMD Ryzen AI.",229,2024-01-31,2024,"{""pcie"":4,""socket"":""AM5"",""chipsets"":""A620, B650, B650E, X670, X670E, B840, B850, X870, X870E"",""ram_type"":""DDR5"",""ram_frecuency"":5200,""ram_max_support"":256}","{""tdp"":65,""cache"":{""l1"":384,""l2"":6144,""l3"":16384},""cores"":6,""threads"":12,""power_base"":65,""architecture"":""Zen 4 (Phoenix)"",""base_frequency"":4.3,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":5}","[{""name"":""Zen 4 Architecture"",""description"":""Arquitectura AMD Zen 4 de 4 nm para alto rendimiento y eficiencia.""},{""name"":""AMD Radeon 760M Graphics"",""description"":""Gráficos integrados RDNA 3 con 8 núcleos gráficos y frecuencia de hasta 2800 MHz.""},{""name"":""AMD Ryzen AI"",""description"":""NPU integrada para acelerar cargas de IA compatibles en escritorio.""},{""name"":""AMD EXPO"",""description"":""Perfiles de overclocking de memoria DDR5 optimizados para plataforma AM5.""},{""name"":""Precision Boost 2"",""description"":""Ajusta dinámicamente la frecuencia según carga, temperatura y margen eléctrico.""},{""name"":""Precision Boost Overdrive"",""description"":""Permite elevar límites de potencia y boost cuando la refrigeración y la placa lo permiten.""},{""name"":""Curve Optimizer"",""description"":""Permite ajustar la curva de voltaje y frecuencia para mejorar eficiencia y boost.""},{""name"":""PCIe 4.0 Support"",""description"":""Soporte PCI Express 4.0 para GPU y almacenamiento compatible.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""}]","{""passmark_score"":25182,""cinebench_multi"":14067,""geekbench_single"":2671}","[""Zen 4"",""AM5"",""DDR5"",""APU"",""Radeon 760M"",""Ryzen AI"",""6 Cores""]",2026-08-16 19:37:00+00,249
cpu-amd-ryzen-9700x,amd-ryzen-7-9700x,gaming,AMD Ryzen 7 9700X,AMD,cpu,high-end,"Procesador de escritorio Ryzen 7 basado en Zen 5 (Granite Ridge). Integra 8 núcleos y 16 hilos, 3.8 GHz de frecuencia base y boost de hasta 5.5 GHz, 40 MB de caché total (L2+L3), soporte DDR5-5600, PCIe 5.0 y gráficos integrados AMD Radeon Graphics para builds AM5 de alto rendimiento.",359,2024-08-08,2024,"{""pcie"":5,""socket"":""AM5"",""chipsets"":""A620, B650, B650E, X670, X670E, B840, B850, X870, X870E"",""ram_type"":""DDR5"",""ram_frecuency"":5600,""ram_max_support"":256}","{""tdp"":65,""cache"":{""l1"":640,""l2"":8192,""l3"":32768},""cores"":8,""threads"":16,""power_base"":65,""architecture"":""Zen 5 (Granite Ridge)"",""base_frequency"":3.8,""efficency_cores"":0,""power_turbo_max"":88,""turbo_frequency"":5.5}","[{""name"":""Zen 5 Architecture"",""description"":""Arquitectura AMD Zen 5 de alta eficiencia y mayor IPC para escritorio.""},{""name"":""AMD EXPO"",""description"":""Perfiles de overclocking de memoria DDR5 optimizados para plataforma AM5.""},{""name"":""Precision Boost 2"",""description"":""Ajusta dinámicamente la frecuencia según carga, temperatura y margen eléctrico.""},{""name"":""TSMC 4nm FinFET"",""description"":""Proceso de fabricación avanzado para los chiplets de CPU Zen 5.""},{""name"":""PCIe 5.0 Support"",""description"":""Soporte de conectividad PCI Express 5.0 para GPU y almacenamiento compatible.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos integrados Radeon de 2 núcleos para salida de vídeo y uso básico.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""}]","{""passmark_score"":36962,""cinebench_multi"":23127,""geekbench_single"":3023}","[""Zen 5"",""AM5"",""DDR5"",""PCIe 5.0"",""High-End Gaming"",""8 Cores""]",2026-08-16 18:46:00+00,399
cpu-amd-ryzen-9900x,amd-ryzen-9-9900x,gaming,AMD Ryzen 9 9900X,AMD,cpu,enthusiast,"Procesador Ryzen 9 de escritorio basado en Zen 5 (Granite Ridge), orientado a gaming avanzado, streaming y creación de contenido. Combina 12 núcleos y 24 hilos, 4.4 GHz de frecuencia base, boost de hasta 5.6 GHz, 76 MB de caché total (L2+L3), DDR5-5600, PCIe 5.0 y gráficos integrados AMD Radeon Graphics.",499,2024-08-15,2024,"{""pcie"":5,""socket"":""AM5"",""chipsets"":""A620, B650, B650E, X670, X670E, B840, B850, X870, X870E"",""ram_type"":""DDR5"",""ram_frecuency"":5600,""ram_max_support"":256}","{""tdp"":120,""cache"":{""l1"":960,""l2"":12288,""l3"":65536},""cores"":12,""threads"":24,""power_base"":120,""architecture"":""Zen 5 (Granite Ridge)"",""base_frequency"":4.4,""efficency_cores"":0,""power_turbo_max"":162,""turbo_frequency"":5.6}","[{""name"":""Zen 5 Architecture"",""description"":""Arquitectura AMD Zen 5 de alta eficiencia y mayor IPC para escritorio.""},{""name"":""AMD EXPO"",""description"":""Perfiles de overclocking de memoria DDR5 optimizados para plataforma AM5.""},{""name"":""Precision Boost 2"",""description"":""Ajusta dinámicamente la frecuencia según carga, temperatura y margen eléctrico.""},{""name"":""TSMC 4nm FinFET"",""description"":""Proceso de fabricación avanzado para los chiplets de CPU Zen 5.""},{""name"":""PCIe 5.0 Support"",""description"":""Soporte de conectividad PCI Express 5.0 para GPU y almacenamiento compatible.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos integrados Radeon de 2 núcleos para salida de vídeo y uso básico.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""AMD Ryzen Master"",""description"":""Herramienta de monitorización y ajuste para procesadores AMD Ryzen compatibles.""}]","{""passmark_score"":54366,""cinebench_multi"":32960,""geekbench_single"":3010}","[""Zen 5"",""AM5"",""DDR5"",""PCIe 5.0"",""Ryzen 9"",""12 Cores""]",2026-08-16 18:46:00+00,539
cpu-amd-ryzen-9950x3d,amd-ryzen-9-9950x3d,gaming,AMD Ryzen 9 9950X3D,AMD,cpu,enthusiast,"Procesador insignia Ryzen 9 X3D basado en Zen 5 (Granite Ridge X3D), orientado a gaming extremo, creación y multitarea intensiva. Ofrece 16 núcleos y 32 hilos, 4.3 GHz base, boost de hasta 5.7 GHz, 144 MB de caché total (L2+L3) con 2nd Gen AMD 3D V-Cache, DDR5-5600, PCIe 5.0 y gráficos Radeon integrados.",699,2025-03-12,2025,"{""pcie"":5,""socket"":""AM5"",""chipsets"":""A620, B650, B650E, X670, X670E, B840, B850, X870, X870E"",""ram_type"":""DDR5"",""ram_frecuency"":5600,""ram_max_support"":256}","{""tdp"":170,""cache"":{""l1"":1280,""l2"":16384,""l3"":131072},""cores"":16,""threads"":32,""power_base"":170,""architecture"":""Zen 5 (Granite Ridge X3D)"",""base_frequency"":4.3,""efficency_cores"":0,""power_turbo_max"":230,""turbo_frequency"":5.7}","[{""name"":""2nd Gen AMD 3D V-Cache"",""description"":""Caché L3 apilada de segunda generación para mejorar el rendimiento en cargas sensibles a caché.""},{""name"":""Zen 5 Architecture"",""description"":""Arquitectura AMD Zen 5 de alta eficiencia y mayor IPC para escritorio.""},{""name"":""AMD EXPO"",""description"":""Perfiles de overclocking de memoria DDR5 optimizados para plataforma AM5.""},{""name"":""Precision Boost 2"",""description"":""Ajusta dinámicamente la frecuencia según carga, temperatura y margen eléctrico.""},{""name"":""TSMC 4nm FinFET"",""description"":""Proceso de fabricación avanzado para los chiplets de CPU Zen 5.""},{""name"":""PCIe 5.0 Support"",""description"":""Soporte de conectividad PCI Express 5.0 para GPU y almacenamiento compatible.""},{""name"":""AMD Radeon Graphics"",""description"":""Gráficos integrados Radeon de 2 núcleos para salida de vídeo y uso básico.""},{""name"":""Unlocked for Overclocking"",""description"":""Multiplicador desbloqueado para ajuste manual de frecuencias y voltajes.""},{""name"":""AMD Ryzen Master"",""description"":""Herramienta de monitorización y ajuste para procesadores AMD Ryzen compatibles.""}]","{""passmark_score"":70107,""cinebench_multi"":42246,""geekbench_single"":3064}","[""Zen 5"",""3D V-Cache"",""AM5"",""Flagship Gaming"",""Enthusiast"",""16 Cores""]",2026-08-16 18:46:00+00,769
