id,slug,market_segment,name,brand,type,category,description,price_base_usd,release_date,release_year,compatibility,specs,technologies,benchmarks,tags,created_at,price_base_eur
mb-asrock-b650e-taichi-lite,asrock-b650e-taichi-lite,high-end,B650E TAICHI LITE,ASRock,motherboard,motherboard,"Ofrece el chipset B650E con soporte para PCIe 5.0 tanto en GPU como en SSD, a un precio más contenido.",279.99,2023-07-12,2023,"{""socket"":[""AM5""],""chipsets"":[""B650E""],""ram_support"":[""DDR5-4800"",""DDR5-7600 (OC)""]}","{""wifi"":""Wi-Fi 6E"",""ethernet"":""Killer E3100G 2.5GbE"",""m2_slots"":[""1x PCIe 5.0 x4"",""2x PCIe 4.0 x4""],""usb_ports"":{""usb_2"":2,""usb_3"":8,""usb_c"":2},""pcie_slots"":[""1x PCIe 5.0 x16"",""1x PCIe 5.0 x16 (x8)""],""vrm_phases"":27,""audio_codec"":""Realtek ALC4082 + ESS SABRE9218 DAC"",""form_factor"":""E-ATX"",""power_phases"":""24+2+1"",""bios_features"":[""BIOS Flashback"",""Auto Driver Installer""],""pcie_generation"":5,""vrm_quality_rating"":9.7}","[{""name"":""24+2+1 Power Phase"",""description"":""Suministro de energía ultra robusto de 105A Smart Power Stage.""},{""name"":""PCIe Gen5 GPU & M.2"",""description"":""Ancho de banda ilimitado para las futuras tarjetas gráficas y SSDs ultra rápidos.""}]","{""boot_time_seconds"":15,""vrm_thermal_performance"":""Outstanding""}","[""AMD B650E"",""AM5"",""DDR5"",""E-ATX"",""Taichi"",""PCIe 5.0"",""WiFi 6E""]",2026-05-03 17:45:04+00,269.99
mb-asus-prime-b550m-k-argb,asus-prime-b550m-k-argb,entry-level,PRIME B550M-K ARGB,ASUS,motherboard,motherboard,"Una B550 en formato compacto que no renuncia a lo esencial, como el soporte PCIe 4.0.",99.99,2021-06-10,2021,"{""socket"":[""AM4""],""chipsets"":[""B550""],""ram_support"":[""DDR4-2133"",""DDR4-4800 (OC)""]}","{""wifi"":""No"",""ethernet"":""Realtek 1GbE"",""m2_slots"":[""1x PCIe 4.0 x4"",""1x PCIe 3.0 x4""],""usb_ports"":{""usb_2"":2,""usb_3"":4,""usb_c"":0},""pcie_slots"":[""1x PCIe 4.0 x16"",""2x PCIe 3.0 x1""],""vrm_phases"":8,""audio_codec"":""Realtek ALC887 / ALC897"",""form_factor"":""mATX"",""power_phases"":""4+2"",""bios_features"":[""ASUS CrashFree BIOS 3""],""pcie_generation"":4,""vrm_quality_rating"":6.5}","[{""name"":""PCIe 4.0 Ready"",""description"":""Mayor ancho de banda para GPUs y SSDs M.2 de alta velocidad.""},{""name"":""Aura Sync"",""description"":""Control de iluminación RGB y ARGB direccionable.""}]","{""boot_time_seconds"":18,""vrm_thermal_performance"":""Average""}","[""AMD B550"",""AM4"",""DDR4"",""mATX"",""PRIME"",""ARGB""]",2026-05-03 17:40:01+00,94.99
mb-asus-rog-crosshair-viii-dark-hero,asus-rog-crosshair-viii-dark-hero,enthusiast,ROG CROSSHAIR VIII DARK HERO,ASUS,motherboard,motherboard,La reina de AM4. Una placa tope de gama para overclockers y entusiastas.,429.99,2020-11-05,2020,"{""socket"":[""AM4""],""chipsets"":[""X570""],""ram_support"":[""DDR4-2133"",""DDR4-5100 (OC)""]}","{""wifi"":""Wi-Fi 6"",""ethernet"":""Realtek 2.5GbE + Intel 1GbE"",""m2_slots"":[""2x PCIe 4.0 x4""],""usb_ports"":{""usb_2"":4,""usb_3"":7,""usb_c"":1},""pcie_slots"":[""2x PCIe 4.0 x16 (x16 or x8/x8)"",""1x PCIe 4.0 x16 (x4)"",""1x PCIe 4.0 x1""],""vrm_phases"":16,""audio_codec"":""ROG SupremeFX S1220"",""form_factor"":""ATX"",""power_phases"":""14+2"",""bios_features"":[""BIOS FlashBack"",""Clear CMOS"",""Q-Code LED""],""pcie_generation"":4,""vrm_quality_rating"":9.8}","[{""name"":""Dynamic OC Switcher"",""description"":""Alterna automáticamente entre PBO para mononúcleo y OC manual para multinúcleo.""},{""name"":""Passive Chipset Cooling"",""description"":""Gran disipador pasivo para el chipset X570 sin necesidad de ventilador.""}]","{""boot_time_seconds"":14,""vrm_thermal_performance"":""Exceptional""}","[""AMD X570"",""AM4"",""DDR4"",""ATX"",""Crosshair"",""Enthusiast"",""Overclocking""]",2026-05-03 17:40:05+00,419.99
mb-asus-rog-crosshair-x670e-hero,asus-rog-crosshair-x670e-hero,enthusiast,ROG CROSSHAIR X670E HERO,ASUS,motherboard,motherboard,La placa insignia para los que quieren lo mejor de lo mejor en AM5.,699.99,2022-09-27,2022,"{""socket"":[""AM5""],""chipsets"":[""X670E""],""ram_support"":[""DDR5-4800"",""DDR5-8000 (OC)""]}","{""wifi"":""Wi-Fi 6E"",""ethernet"":""Intel 2.5GbE"",""m2_slots"":[""2x PCIe 5.0 x4"",""3x PCIe 4.0 x4""],""usb_ports"":{""usb_2"":2,""usb_3"":8,""usb_c"":2},""pcie_slots"":[""2x PCIe 5.0 x16 (x16 or x8/x8)"",""1x PCIe 4.0 x1""],""vrm_phases"":20,""audio_codec"":""ROG SupremeFX ALC4082 + ESS ES9218 Quad DAC"",""form_factor"":""ATX"",""power_phases"":""18+2"",""bios_features"":[""BIOS FlashBack"",""Clear CMOS"",""Q-Code LED"",""AI Overclocking""],""pcie_generation"":5,""vrm_quality_rating"":9.9}","[{""name"":""USB4 Ports"",""description"":""Dos puertos USB4 Type-C con hasta 40 Gbps de ancho de banda y salida DisplayPort.""},{""name"":""Polymo Lighting"",""description"":""Matriz de iluminación en la cubierta de E/S personalizable con efectos RGB.""}]","{""boot_time_seconds"":14,""vrm_thermal_performance"":""Exceptional""}","[""AMD X670E"",""AM5"",""DDR5"",""ATX"",""Crosshair"",""USB4"",""Enthusiast""]",2026-05-03 17:45:05+00,679.99
mb-asus-rog-strix-b550-f-gaming-wifi,asus-rog-strix-b550-f-gaming-wifi,mid-high,ROG STRIX B550-F GAMING WIFI,ASUS,motherboard,motherboard,Considerada una de las mejores placas B550. Ofrece un rendimiento y unas prestaciones excelentes.,199.99,2020-06-16,2020,"{""socket"":[""AM4""],""chipsets"":[""B550""],""ram_support"":[""DDR4-2133"",""DDR4-5100 (OC)""]}","{""wifi"":""Wi-Fi 6"",""ethernet"":""Intel 2.5GbE"",""m2_slots"":[""1x PCIe 4.0 x4"",""1x PCIe 3.0 x4""],""usb_ports"":{""usb_2"":2,""usb_3"":5,""usb_c"":1},""pcie_slots"":[""1x PCIe 4.0 x16"",""1x PCIe 3.0 x16 (x4)"",""3x PCIe 3.0 x1""],""vrm_phases"":14,""audio_codec"":""ROG SupremeFX S1220A"",""form_factor"":""ATX"",""power_phases"":""12+2"",""bios_features"":[""BIOS FlashBack""],""pcie_generation"":4,""vrm_quality_rating"":9}","[{""name"":""SupremeFX Audio"",""description"":""Sistema de audio inmersivo de alta fidelidad con doble amplificador.""},{""name"":""AI Noise-Canceling"",""description"":""Cancelación de ruido bidireccional por IA para comunicación clara.""}]","{""boot_time_seconds"":16,""vrm_thermal_performance"":""Excellent""}","[""AMD B550"",""AM4"",""DDR4"",""ATX"",""ROG Strix"",""WiFi 6""]",2026-05-03 17:40:03+00,189.99
mb-asus-rog-strix-b760-a-gaming-wifi,asus-rog-strix-b760-a-gaming-wifi,mid-high,ROG STRIX B760-A GAMING WIFI,ASUS,motherboard,motherboard,"Placa base ATX con un diseño estético muy cuidado (blanco/plateado), ideal para builds temáticas. Gran potencia de entrega para CPUs exigentes.",239.99,2023-01-03,2023,"{""socket"":[""LGA 1700""],""chipsets"":[""B760""],""ram_support"":[""DDR5-4800"",""DDR5-7800 (OC)""]}","{""wifi"":""Wi-Fi 6E"",""ethernet"":""Intel 2.5GbE"",""m2_slots"":[""3x PCIe 4.0 x4""],""usb_ports"":{""usb_2"":4,""usb_3"":4,""usb_c"":2},""pcie_slots"":[""1x PCIe 5.0 x16"",""1x PCIe 3.0 x16 (x4)"",""2x PCIe 3.0 x1""],""vrm_phases"":14,""audio_codec"":""ROG SupremeFX ALC4080"",""form_factor"":""ATX"",""power_phases"":""12+1+1"",""bios_features"":[""BIOS FlashBack""],""pcie_generation"":5,""vrm_quality_rating"":8.8}","[{""name"":""SupremeFX Audio"",""description"":""Audio de alta fidelidad con amplificador Savitech.""},{""name"":""AI Cooling II"",""description"":""Balanceo automático térmico y acústico.""}]","{""boot_time_seconds"":16,""vrm_thermal_performance"":""Excellent""}","[""Intel B760"",""LGA 1700"",""DDR5"",""ATX"",""ROG Strix"",""White Build""]",2026-05-03 17:30:04+00,229.99
mb-asus-rog-strix-b860-a-gaming-wifi-s,asus-rog-strix-b860-a-gaming-wifi-s,mid-high,ROG STRIX B860-A GAMING WIFI S,ASUS,motherboard,motherboard,"La versión 'white' de la B860, ideal para builds estéticos y elegantes con los nuevos procesadores Intel Core Ultra.",259.99,2025-01-07,2025,"{""socket"":[""LGA 1851""],""chipsets"":[""B860""],""ram_support"":[""DDR5-5600"",""DDR5-8800 (OC)""]}","{""wifi"":""Wi-Fi 7"",""ethernet"":""Intel 2.5GbE"",""m2_slots"":[""4x PCIe 4.0 x4""],""usb_ports"":{""usb_2"":4,""usb_3"":4,""usb_c"":2},""pcie_slots"":[""1x PCIe 5.0 x16"",""1x PCIe 4.0 x16 (x4)""],""vrm_phases"":14,""audio_codec"":""ROG SupremeFX ALC4080"",""form_factor"":""ATX"",""power_phases"":""12+1+1+1"",""bios_features"":[""BIOS FlashBack"",""Clear CMOS""],""pcie_generation"":5,""vrm_quality_rating"":8.9}","[{""name"":""White Aesthetics"",""description"":""Diseño en tono blanco/plateado con disipadores de aluminio mate.""},{""name"":""SupremeFX Audio"",""description"":""Audio de alta definición integrado para gaming profesional.""}]","{""boot_time_seconds"":15,""vrm_thermal_performance"":""Excellent""}","[""Intel B860"",""LGA 1851"",""DDR5"",""ATX"",""ROG Strix"",""White Build""]",2026-05-03 17:35:01+00,249.99
mb-asus-rog-strix-z890-a-gaming-wifi-s,asus-rog-strix-z890-a-gaming-wifi-s,enthusiast,ROG STRIX Z890-A GAMING WIFI S,ASUS,motherboard,motherboard,La placa 'blanca' insignia para entusiastas. Ofrece soporte extremo para memorias DDR5 de hasta 9066 MHz y 5 ranuras M.2 de alta velocidad.,449.99,2024-10-24,2024,"{""socket"":[""LGA 1851""],""chipsets"":[""Z890""],""ram_support"":[""DDR5-5600"",""DDR5-9066 (OC)""]}","{""wifi"":""Wi-Fi 7"",""ethernet"":""Intel 2.5GbE"",""m2_slots"":[""1x PCIe 5.0 x4"",""4x PCIe 4.0 x4""],""usb_ports"":{""usb_2"":4,""usb_3"":4,""usb_c"":3},""pcie_slots"":[""1x PCIe 5.0 x16"",""2x PCIe 4.0 x16 (x4)""],""vrm_phases"":20,""audio_codec"":""ROG SupremeFX ALC4080"",""form_factor"":""ATX"",""power_phases"":""16+1+2+2"",""bios_features"":[""BIOS FlashBack"",""Q-Code LED"",""Clear CMOS""],""pcie_generation"":5,""vrm_quality_rating"":9.6}","[{""name"":""DIMM Flex & Fit"",""description"":""Optimización térmica y de frecuencias para overclock de memoria DDR5.""},{""name"":""PCIe Slot Q-Release Slim"",""description"":""Mecanismo rápido para retirar la GPU simplemente tirando hacia arriba.""}]","{""boot_time_seconds"":13,""vrm_thermal_performance"":""Exceptional""}","[""Intel Z890"",""LGA 1851"",""DDR5"",""ATX"",""ROG Strix"",""Enthusiast"",""White Build""]",2026-05-03 17:35:04+00,439.99
mb-asus-tuf-b760m-plus-wifi-ii,asus-tuf-gaming-b760m-plus-wifi-ii,mid-range,TUF GAMING B760M-PLUS WIFI II,ASUS,motherboard,motherboard,"La evolución de la popular serie B660M/B760M, con mejoras en VRM, características como WIFI 6E, y una fiabilidad de grado militar probada.",189.99,2023-11-02,2023,"{""socket"":[""LGA 1700""],""chipsets"":[""B760""],""ram_support"":[""DDR5-4800"",""DDR5-7800 (OC)""]}","{""wifi"":""Wi-Fi 6E"",""ethernet"":""Realtek 2.5GbE"",""m2_slots"":[""3x PCIe 4.0 x4""],""usb_ports"":{""usb_2"":2,""usb_3"":4,""usb_c"":2},""pcie_slots"":[""1x PCIe 5.0 x16"",""1x PCIe 4.0 x4"",""1x PCIe 3.0 x1""],""vrm_phases"":14,""audio_codec"":""Realtek ALC897"",""form_factor"":""mATX"",""power_phases"":""12+1+1"",""bios_features"":[""ASUS CrashFree BIOS 3""],""pcie_generation"":5,""vrm_quality_rating"":8.5}","[{""name"":""TUF Components"",""description"":""Chokes y capacitores de grado militar para mayor durabilidad.""},{""name"":""AURA Sync"",""description"":""Iluminación RGB personalizable.""}]","{""boot_time_seconds"":17,""vrm_thermal_performance"":""Great""}","[""Intel B760"",""LGA 1700"",""DDR5"",""mATX"",""TUF Gaming""]",2026-05-03 17:30:03+00,179.99
mb-asus-tuf-b860m-plus-wifi,asus-tuf-gaming-b860m-plus-wifi,mid-range,TUF GAMING B860M-PLUS WIFI,ASUS,motherboard,motherboard,"Perfecta para builds con los nuevos procesadores Intel Core Ultra 5/7 (LGA 1851), con excelente rendimiento y soporte para memorias DDR5 de hasta 8800 MHz.",209.99,2025-01-07,2025,"{""socket"":[""LGA 1851""],""chipsets"":[""B860""],""ram_support"":[""DDR5-5600"",""DDR5-8800 (OC)""]}","{""wifi"":""Wi-Fi 7"",""ethernet"":""Realtek 2.5GbE"",""m2_slots"":[""3x PCIe 4.0 x4"",""1x PCIe 5.0 x4""],""usb_ports"":{""usb_2"":2,""usb_3"":4,""usb_c"":2},""pcie_slots"":[""1x PCIe 5.0 x16"",""1x PCIe 4.0 x4""],""vrm_phases"":14,""audio_codec"":""Realtek ALC897"",""form_factor"":""mATX"",""power_phases"":""12+1+1+1"",""bios_features"":[""ASUS CrashFree BIOS 3"",""EZ Flash 3""],""pcie_generation"":5,""vrm_quality_rating"":8.6}","[{""name"":""TUF Protection"",""description"":""Protección contra sobretensiones y componentes mecánicos reforzados.""},{""name"":""WiFi 7 Support"",""description"":""Conectividad inalámbrica ultra rápida de nueva generación.""}]","{""boot_time_seconds"":16,""vrm_thermal_performance"":""Great""}","[""Intel B860"",""LGA 1851"",""DDR5"",""mATX"",""TUF Gaming"",""Core Ultra""]",2026-05-03 17:35:00+00,199.99
