id,slug,market_segment,name,brand,type,category,description,price_base_usd,release_date,release_year,compatibility,specs,technologies,benchmarks,tags,created_at,price_base_eur
psu-bequiet-dark-power-14-1200w,bequiet-dark-power-14-1200w,enthusiast,Dark Power 14 1200W,be quiet!,psu,power_supply,"Una de las fuentes más eficientes y silenciosas del mercado, con certificación 80 PLUS Titanium y Cybenetics Titanium (hasta 95.42% de eficiencia). Totalmente modular, compatible con ATX 3.1 y PCIe 5.1, e incluye un ventilador de 135mm de funcionamiento semi-pasivo.",309.90,2025-10-28,2025,"{""form_factor"":""ATX 3.1"",""gpu_support"":[""RTX 50 Series"",""RX 90 Series""]}","{""wattage"":1200,""ripple_mv"":8,""efficiency"":""80+ Titanium"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""full-modular""}","[{""name"":""80 PLUS Titanium Efficiency"",""description"":""Eficiencia de hasta 95.42%, la más alta del mercado.""},{""name"":""ATX 3.1 & PCIe 5.1 Ready"",""description"":""Soporte completo para GPUs de nueva generación.""},{""name"":""135mm Silent Wings Fan"",""description"":""Ventilador de alto rendimiento con funcionamiento semi-pasivo para un silencio extremo.""},{""name"":""Overclocking Key"",""description"":""Permite cambiar entre modos de riel único o múltiple para overclocking.""}]","{""noise_level_db"":10,""efficiency_load_50"":95}","[""1200W"",""80+ Titanium"",""Full Modular"",""be quiet!"",""Enthusiast"",""ATX 3.1"",""Silent""]",2026-05-03 17:45:21+00,309.90
psu-bequiet-pure-power-12m-850w,bequiet-pure-power-12m-850w,mid-high,Pure Power 12 M 850W,be quiet!,psu,power_supply,"Fuente extremadamente silenciosa, con eficiencia de hasta el 93.2% y conectores para PCIe 5.0. Totalmente modular, con certificación 80 Plus Gold y ATX 3.0.",139.99,2023-11-01,2023,"{""form_factor"":""ATX 3.0"",""gpu_support"":[""RTX 4070 Ti"",""RTX 5070"",""RX 7800 XT""]}","{""wattage"":850,""ripple_mv"":10,""efficiency"":""80+ Gold"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""full-modular""}","[{""name"":""Silent Wings 3 Fan"",""description"":""Ventilador de 135mm con perfil aerodinámico optimizado para mínimo ruido.""},{""name"":""ATX 3.0 Support"",""description"":""Incluye conector nativo 12VHPWR para GPUs de nueva generación.""}]","{""noise_level_db"":12,""efficiency_load_50"":93}","[""ATX 3.0"",""Gold"",""Full Modular"",""850W"",""be quiet!"",""Silent""]",2026-05-03 17:45:14+00,129.99
psu-cooler-master-mwe-bronze-650-v2,cooler-master-mwe-bronze-650-v2,mid-range,MWE Bronze 650 V2,Cooler Master,psu,power_supply,Fuente de 650W eficiente y robusta con certificación 80 Plus Bronze. Incorpora tecnología DC-to-DC de doble adelante y cableado plano para facilitar el montaje.,69.99,2019-10-15,2019,"{""form_factor"":""ATX"",""gpu_support"":[""RTX 3060 Ti"",""RTX 4060 Ti"",""RX 6700 XT""]}","{""wattage"":650,""ripple_mv"":30,""efficiency"":""80+ Bronze"",""protections"":[""OVP"",""OPP"",""OTP"",""SCP"",""UVP"",""OCP""],""modular_type"":""non-modular""}","[{""name"":""DC-to-DC + LLC Technology"",""description"":""Asegura una conversión de energía estable y mayor compatibilidad con placas base modernas.""},{""name"":""HDB Fan 120mm"",""description"":""Ventilador Hydro Dynamic Bearing que regula la temperatura de manera eficiente con bajo ruido.""}]","{""noise_level_db"":24,""efficiency_load_50"":87}","[""650W"",""80+ Bronze"",""Non-Modular"",""Cooler Master"",""Mid-Range""]",2026-05-03 17:45:07+00,64.99
psu-cooler-master-mwe-gold-750-v2,cooler-master-mwe-gold-750-v2,mid-high,MWE Gold 750 V2,Cooler Master,psu,power_supply,"Fuente con ventilador HDB, muy silenciosa y con gran eficiencia. Totalmente modular, certificación 80 Plus Gold y soporte ATX 3.1.",109.99,2024-03-01,2024,"{""form_factor"":""ATX 3.1"",""gpu_support"":[""RTX 4070"",""RTX 5070"",""RX 7700 XT""]}","{""wattage"":750,""ripple_mv"":12,""efficiency"":""80+ Gold"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""full-modular""}","[{""name"":""HDB Fan"",""description"":""Ventilador Hydro Dynamic Bearing de 120mm para bajo ruido y larga vida útil.""},{""name"":""ATX 3.1 Ready"",""description"":""Cumple con el estándar ATX 3.1 para mayor estabilidad y eficiencia.""}]","{""noise_level_db"":16,""efficiency_load_50"":90}","[""ATX 3.1"",""Gold"",""Full Modular"",""750W"",""Cooler Master""]",2026-05-03 17:45:17+00,100.99
psu-cooler-master-mwe-white-450w,cooler-master-mwe-white-450w,entry-level,MWE White 450W V2,Cooler Master,psu,power_supply,Opción muy económica para equipos de oficina o gaming muy ligero. Ofrece eficiencia 80 Plus Standard (White) y diseño de circuito DC-to-DC.,39.99,2019-11-10,2019,"{""form_factor"":""ATX"",""gpu_support"":[""GTX 1650"",""RX 6400"",""iGPU""]}","{""wattage"":450,""ripple_mv"":40,""efficiency"":""80+ White"",""protections"":[""OVP"",""OPP"",""OTP"",""SCP"",""UVP""],""modular_type"":""non-modular""}","[{""name"":""HDB Fan"",""description"":""Ventilador Hydro Dynamic Bearing de 120 mm para mayor vida útil y funcionamiento silencioso.""},{""name"":""DC-to-DC Technology"",""description"":""Garantiza una alimentación constante e independiente en las líneas de +3.3V y +5V.""}]","{""noise_level_db"":26,""efficiency_load_50"":82}","[""450W"",""80+ White"",""Non-Modular"",""Cooler Master"",""Entry-Level""]",2026-05-03 17:45:01+00,36.99
psu-corsair-cx550,corsair-cx550,mid-range,CX550,Corsair,psu,power_supply,Fuente de alimentación no modular de 550W con certificación 80 Plus Bronze. Ideal para ensambles de gama media que buscan buena eficiencia y fiabilidad a un precio ajustado.,69.99,2017-03-15,2017,"{""form_factor"":""ATX"",""gpu_support"":[""RTX 3060"",""RTX 4060"",""RX 6600 XT""]}","{""wattage"":550,""ripple_mv"":30,""efficiency"":""80+ Bronze"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""non-modular""}","[{""name"":""LLC Resonant Topology"",""description"":""Diseño de circuito avanzado para minimizar pérdidas de energía y ruido de conmutación.""},{""name"":""Non-Modular Cabling"",""description"":""Cables fijos que garantizan una conexión directa y reducen la impedancia.""}]","{""noise_level_db"":25,""efficiency_load_50"":86}","[""550W"",""80+ Bronze"",""Non-Modular"",""Corsair"",""Mid-Range""]",2026-05-03 17:45:04+00,64.99
psu-corsair-cx750m,corsair-cx750m,mid-range,CX750M,Corsair,psu,power_supply,Fuente semi-modular de 750W con certificación 80 Plus Bronze. Proporciona una potencia sólida y confiable para tarjetas gráficas de mayor consumo con una gestión de cables práctica.,89.99,2021-08-10,2021,"{""form_factor"":""ATX"",""gpu_support"":[""RTX 3070"",""RTX 4070"",""RX 6700 XT"",""RX 7700 XT""]}","{""wattage"":750,""ripple_mv"":32,""efficiency"":""80+ Bronze"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""semi-modular""}","[{""name"":""Semi-Modular Design"",""description"":""Facilita la instalación y reduce el desorden de cables dentro del chasis.""},{""name"":""120mm Thermally Controlled Fan"",""description"":""Ajusta la velocidad del ventilador según la temperatura para minimizar el nivel sonoro.""}]","{""noise_level_db"":27,""efficiency_load_50"":87}","[""750W"",""80+ Bronze"",""Semi-Modular"",""Corsair"",""Mid-Range""]",2026-05-03 17:45:05+00,82.99
psu-corsair-hx1200,corsair-hx1200,high-end,HX1200,Corsair,psu,power_supply,"Fuente tope de gama para sistemas con múltiples GPUs o estaciones de trabajo. Certificación 80 Plus Platinum, totalmente modular y con componentes de la más alta calidad para una entrega de energía estable y eficiente.",309.99,2025-04-16,2025,"{""form_factor"":""ATX"",""gpu_support"":[""RTX 4090"",""RTX 5090"",""RX 7900 XTX"",""Multiple GPUs""]}","{""wattage"":1200,""ripple_mv"":10,""efficiency"":""80+ Platinum"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""full-modular""}","[{""name"":""100% Japanese Capacitors"",""description"":""Condensadores japoneses de 105°C para máxima durabilidad y estabilidad.""},{""name"":""Zero RPM Fan Mode"",""description"":""El ventilador se detiene en cargas bajas para un funcionamiento completamente silencioso.""},{""name"":""10-Year Warranty"",""description"":""Garantía de 10 años que refleja la calidad y fiabilidad del producto.""}]","{""noise_level_db"":12,""efficiency_load_50"":92}","[""1200W"",""80+ Platinum"",""Full Modular"",""Corsair"",""High-End"",""10 Year Warranty""]",2026-05-03 17:45:19+00,289.99
psu-corsair-hx1500i-2025,corsair-hx1500i-2025,enthusiast,HX1500i (2025),Corsair,psu,power_supply,"Lo último de Corsair en fuentes de alta potencia, con monitorización digital avanzada a través de iCUE. Compatible con ATX 3.1 y PCIe 5.1, incluye conector 12V-2x6 y ventilador FDB de 140mm. Perfecta para los builds más exigentes.",349.99,2025-07-10,2025,"{""form_factor"":""ATX 3.1"",""gpu_support"":[""RTX 50 Series"",""RX 90 Series"",""Multiple GPUs""]}","{""wattage"":1500,""ripple_mv"":8,""efficiency"":""80+ Platinum"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""full-modular""}","[{""name"":""iCUE Digital Control"",""description"":""Monitorización y control avanzado a través de iCUE: seguimiento de carga, ajuste de ventiladores y control de rieles.""},{""name"":""ATX 3.1 & PCIe 5.1 Ready"",""description"":""Incluye conector nativo 12V-2x6 para GPUs de última generación.""},{""name"":""140mm FDB Fan"",""description"":""Ventilador con rodamiento dinámico para un funcionamiento silencioso y duradero.""},{""name"":""10-Year Warranty"",""description"":""Garantía de 10 años.""}]","{""noise_level_db"":11,""efficiency_load_50"":93}","[""1500W"",""80+ Platinum"",""Full Modular"",""Corsair"",""Enthusiast"",""iCUE"",""ATX 3.1"",""10 Year Warranty""]",2026-05-03 17:45:20+00,329.99
psu-corsair-rm750e-2025,corsair-rm750e-2025,mid-high,RM750e (2025),Corsair,psu,power_supply,"Fuente de alimentación 80 Plus Gold con certificación ATX 3.1 y PCIe Gen 5.1. Totalmente modular, incluye conector nativo 12V-2x6 de hasta 450W para GPUs de última generación. Tecnología Smart Zero Fan para funcionamiento ultra silencioso en cargas bajas y ventilador hidráulico de 120mm. Es la evolución de la clásica RMx, siendo una de las 750W más vendidas.",119.99,2025-01-15,2025,"{""form_factor"":""ATX 3.1"",""gpu_support"":[""RTX 50 Series"",""RX 90 Series""]}","{""wattage"":750,""ripple_mv"":12,""efficiency"":""80+ Gold"",""protections"":[""OCP"",""OVP"",""UVP"",""OPP"",""SCP"",""OTP""],""modular_type"":""full-modular""}","[{""name"":""Smart Zero Fan"",""description"":""El ventilador permanece apagado en cargas bajas (<30%) para ruido de 0 dBA.""},{""name"":""ATX 3.1 & PCIe 5.1 Ready"",""description"":""Incluye conector nativo 12V-2x6 con entrega de hasta 450W.""},{""name"":""DC-to-DC & LLC Circuits"",""description"":""Regulación de voltaje precisa y estable.""}]","{""noise_level_db"":14,""efficiency_load_50"":91}","[""ATX 3.1"",""PCIe 5.1"",""Gold"",""Full Modular"",""Smart Zero Fan"",""12V-2x6"",""Corsair"",""750W""]",2026-05-03 17:45:10+00,110.99
