id,slug,market_segment,name,brand,type,category,description,price_base_usd,release_date,release_year,compatibility,specs,technologies,benchmarks,tags,created_at,price_base_eur
ram-corsair-vengeance-ddr5-32gb-2x16-6000-cl30-expo,corsair-vengeance-ddr5-32gb-2x16-6000-cl30-expo,performance,Corsair Vengeance 32GB (2x16GB) DDR5 6000MHz CL30 AMD EXPO,Corsair,ram,Memory Module,"Kit Corsair Vengeance DDR5 de 32GB en configuración dual channel 2x16GB, SKU CMK32GX5M2B6000Z30. Optimizado para AMD Ryzen AM5, funciona a 6000MT/s con latencias 30-36-36-76, voltaje probado de 1.40V, perfil AMD EXPO e Intel XMP, formato UDIMM de 288 pines, disipador de aluminio compacto y PMIC para overclocking.",588.99,,,"{""technology"":""DDR5""}","{""speed"":6000,""latency"":30,""timings"":""30-36-36-76"",""voltage"":1.4,""capacity"":32,""bandwidth"":""PC5-48000"",""spd_speed"":4800,""technology"":""DDR5"",""ecc_support"":false,""form_factor"":""288-pin UDIMM"",""spd_timings"":""40-40-40-77"",""spd_voltage"":1.1,""dual_channel"":""2x16"",""module_count"":2,""has_dram_cache"":false,""module_capacity"":16,""profile_support"":[""AMD EXPO"",""Intel XMP""],""overclocking_headroom"":""High""}","[{""name"":""AMD EXPO"",""description"":""Perfil de overclocking optimizado para plataformas AMD Ryzen AM5.""},{""name"":""Intel XMP"",""description"":""Perfil de memoria compatible con plataformas Intel DDR5 compatibles.""},{""name"":""Onboard Voltage Regulation"",""description"":""Regulación de voltaje integrada mediante PMIC para ajustes más precisos.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio compacto para disipación térmica pasiva.""},{""name"":""Low-Profile DDR5 Design"",""description"":""Diseño compacto compatible con la mayoría de disipadores de CPU.""}]","{""latency_ns"":10,""read_speed"":96,""write_speed"":96}","[""DDR5"",""Corsair"",""Vengeance"",""32GB"",""2x16"",""6000MHz"",""CL30"",""AMD EXPO"",""AM5 Sweet Spot""]",2026-08-17 11:06:00+00,642.99
ram-corsair-vengeance-ddr5-48gb-2x24-6000-cl30-expo,corsair-vengeance-ddr5-48gb-2x24-6000-cl30-expo,performance,Corsair Vengeance 48GB (2x24GB) DDR5 6000MHz CL30 AMD EXPO,Corsair,ram,Memory Module,"Kit Corsair Vengeance DDR5 de 48GB en configuración dual channel 2x24GB, SKU CMK48GX5M2B6000Z30. Diseñado para sistemas AMD Ryzen AM5, ofrece 6000MT/s con latencias 30-36-36-76, voltaje probado de 1.40V, perfiles AMD EXPO e Intel XMP, formato UDIMM de 288 pines, disipador de aluminio y PMIC para overclocking.",714.12,,,"{""technology"":""DDR5""}","{""speed"":6000,""latency"":30,""timings"":""30-36-36-76"",""voltage"":1.4,""capacity"":48,""bandwidth"":""PC5-48000"",""spd_speed"":4800,""technology"":""DDR5"",""ecc_support"":false,""form_factor"":""288-pin UDIMM"",""spd_timings"":""40-40-40-77"",""spd_voltage"":1.1,""dual_channel"":""2x24"",""module_count"":2,""has_dram_cache"":false,""module_capacity"":24,""profile_support"":[""AMD EXPO"",""Intel XMP""],""overclocking_headroom"":""High""}","[{""name"":""AMD EXPO"",""description"":""Perfil de overclocking optimizado para plataformas AMD Ryzen AM5.""},{""name"":""Intel XMP"",""description"":""Perfil de memoria compatible con plataformas Intel DDR5 compatibles.""},{""name"":""Onboard Voltage Regulation"",""description"":""Regulación de voltaje integrada mediante PMIC para ajustes más precisos.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio compacto para disipación térmica pasiva.""},{""name"":""Low-Profile DDR5 Design"",""description"":""Diseño compacto compatible con la mayoría de disipadores de CPU.""}]","{""latency_ns"":10,""read_speed"":96,""write_speed"":96}","[""DDR5"",""Corsair"",""Vengeance"",""48GB"",""2x24"",""6000MHz"",""CL30"",""AMD EXPO""]",2026-08-17 11:06:00+00,656.99
ram-corsair-vengeance-ddr5-64gb-2x32-6000-cl30-expo,corsair-vengeance-ddr5-64gb-2x32-6000-cl30-expo,performance,Corsair Vengeance 64GB (2x32GB) DDR5 6000MHz CL30 AMD EXPO,Corsair,ram,Memory Module,"Kit Corsair Vengeance DDR5 de 64GB en configuración dual channel 2x32GB, SKU CMK64GX5M2B6000Z30. Pensado para builds AM5 de alta capacidad, trabaja a 6000MT/s con latencias 30-36-36-76, voltaje probado de 1.40V, perfiles AMD EXPO e Intel XMP, formato UDIMM de 288 pines, disipador de aluminio y PMIC de overclock.",1163.99,,,"{""technology"":""DDR5""}","{""speed"":6000,""latency"":30,""timings"":""30-36-36-76"",""voltage"":1.4,""capacity"":64,""bandwidth"":""PC5-48000"",""spd_speed"":4800,""technology"":""DDR5"",""ecc_support"":false,""form_factor"":""288-pin UDIMM"",""spd_timings"":""40-40-40-77"",""spd_voltage"":1.1,""dual_channel"":""2x32"",""module_count"":2,""has_dram_cache"":false,""module_capacity"":32,""profile_support"":[""AMD EXPO"",""Intel XMP""],""overclocking_headroom"":""High""}","[{""name"":""AMD EXPO"",""description"":""Perfil de overclocking optimizado para plataformas AMD Ryzen AM5.""},{""name"":""Intel XMP"",""description"":""Perfil de memoria compatible con plataformas Intel DDR5 compatibles.""},{""name"":""Onboard Voltage Regulation"",""description"":""Regulación de voltaje integrada mediante PMIC para ajustes más precisos.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio compacto para disipación térmica pasiva.""},{""name"":""Low-Profile DDR5 Design"",""description"":""Diseño compacto compatible con la mayoría de disipadores de CPU.""}]","{""latency_ns"":10,""read_speed"":96,""write_speed"":96}","[""DDR5"",""Corsair"",""Vengeance"",""64GB"",""2x32"",""6000MHz"",""CL30"",""AMD EXPO""]",2026-08-17 11:06:00+00,1206.99
ram-corsair-vengeance-ddr5-96gb-2x48-6000-cl30-expo,corsair-vengeance-ddr5-96gb-2x48-6000-cl30-expo,performance,Corsair Vengeance 96GB (2x48GB) DDR5 6000MHz CL30 AMD EXPO,Corsair,ram,Memory Module,"Kit Corsair Vengeance DDR5 de 96GB en configuración dual channel 2x48GB, SKU CMK96GX5M2B6000Z30. Variante de alta capacidad para AM5, trabaja a 6000MT/s con latencias 30-36-36-76, voltaje probado de 1.40V, perfiles AMD EXPO e Intel XMP, formato UDIMM de 288 pines, disipador de aluminio y PMIC de overclock.",1786.95,,,"{""technology"":""DDR5""}","{""speed"":6000,""latency"":30,""timings"":""30-36-36-76"",""voltage"":1.4,""capacity"":96,""bandwidth"":""PC5-48000"",""spd_speed"":4800,""technology"":""DDR5"",""ecc_support"":false,""form_factor"":""288-pin UDIMM"",""spd_timings"":""40-40-40-77"",""spd_voltage"":1.1,""dual_channel"":""2x48"",""module_count"":2,""has_dram_cache"":false,""module_capacity"":48,""profile_support"":[""AMD EXPO"",""Intel XMP""],""overclocking_headroom"":""High""}","[{""name"":""AMD EXPO"",""description"":""Perfil de overclocking optimizado para plataformas AMD Ryzen AM5.""},{""name"":""Intel XMP"",""description"":""Perfil de memoria compatible con plataformas Intel DDR5 compatibles.""},{""name"":""Onboard Voltage Regulation"",""description"":""Regulación de voltaje integrada mediante PMIC para ajustes más precisos.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio compacto para disipación térmica pasiva.""},{""name"":""Low-Profile DDR5 Design"",""description"":""Diseño compacto compatible con la mayoría de disipadores de CPU.""}]","{""latency_ns"":10,""read_speed"":96,""write_speed"":96}","[""DDR5"",""Corsair"",""Vengeance"",""96GB"",""2x48"",""6000MHz"",""CL30"",""AMD EXPO"",""High Capacity""]",2026-08-17 11:06:00+00,1643.99
ram-corsair-vengeance-lpx-ddr4-16gb-1x16-3200-cl16,corsair-vengeance-lpx-ddr4-16gb-1x16-3200-cl16,budget,Corsair Vengeance LPX 16GB (1x16GB) DDR4 3200MHz CL16,Corsair,ram,Memory Module,"Módulo Corsair Vengeance LPX DDR4 de 16GB en configuración single channel 1x16GB, velocidad probada de 3200MT/s, latencia CL16-20-20-38 y voltaje de 1.35V. Ideal para ampliar equipos DDR4 manteniendo ranuras libres, con Intel XMP 2.0, disipador de aluminio y diseño de perfil bajo.",148.99,2018-12-01,2018,"{""technology"":""DDR4""}","{""speed"":3200,""latency"":16,""voltage"":1.35,""capacity"":16,""technology"":""DDR4"",""ecc_support"":false,""dual_channel"":""1x16"",""has_dram_cache"":false,""profile_support"":[""XMP 2.0""],""overclocking_headroom"":""Medium""}","[{""name"":""Intel XMP 2.0"",""description"":""Perfil de memoria que permite aplicar automáticamente velocidad, voltaje y latencias probadas.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio anodizado para mejorar la disipación térmica.""},{""name"":""Low-Profile Design"",""description"":""Diseño de baja altura compatible con más disipadores de CPU y cajas compactas.""},{""name"":""Compatibility Tested"",""description"":""Memoria validada por Corsair para compatibilidad con múltiples plataformas DDR4.""}]","{""latency_ns"":72,""read_speed"":23,""write_speed"":22}","[""DDR4"",""Corsair"",""Vengeance LPX"",""16GB"",""1x16"",""Single Channel"",""3200MHz"",""CL16"",""XMP 2.0""]",2026-08-17 10:36:00+00,176.99
ram-corsair-vengeance-lpx-ddr4-16gb-2x8-3200-cl16,corsair-vengeance-lpx-ddr4-16gb-2x8-3200-cl16,budget,Corsair Vengeance LPX 16GB (2x8GB) DDR4 3200MHz CL16,Corsair,ram,Memory Module,"Kit de memoria Corsair Vengeance LPX DDR4 de 16GB en configuración dual channel 2x8GB, velocidad probada de 3200MT/s, latencia CL16-20-20-38 y voltaje de 1.35V. Es una opción popular para PCs DDR4 de gaming y productividad, con perfil Intel XMP 2.0 y disipador de aluminio de perfil bajo.",159.99,2019-05-01,2019,"{""technology"":""DDR4""}","{""speed"":3200,""latency"":16,""voltage"":1.35,""capacity"":16,""technology"":""DDR4"",""ecc_support"":false,""dual_channel"":""2x8"",""has_dram_cache"":false,""profile_support"":[""XMP 2.0""],""overclocking_headroom"":""Medium""}","[{""name"":""Intel XMP 2.0"",""description"":""Perfil de memoria que permite aplicar automáticamente velocidad, voltaje y latencias probadas.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio anodizado para mejorar la disipación térmica.""},{""name"":""Low-Profile Design"",""description"":""Diseño de baja altura compatible con más disipadores de CPU y cajas compactas.""},{""name"":""Compatibility Tested"",""description"":""Memoria validada por Corsair para compatibilidad con múltiples plataformas DDR4.""}]","{""latency_ns"":70,""read_speed"":45,""write_speed"":43}","[""DDR4"",""Corsair"",""Vengeance LPX"",""16GB"",""2x8"",""3200MHz"",""CL16"",""XMP 2.0""]",2026-08-17 10:36:00+00,190.99
ram-corsair-vengeance-lpx-ddr4-32gb-2x16-3200-cl16,corsair-vengeance-lpx-ddr4-32gb-2x16-3200-cl16,budget,Corsair Vengeance LPX 32GB (2x16GB) DDR4 3200MHz CL16,Corsair,ram,Memory Module,"Kit de memoria Corsair Vengeance LPX DDR4 de 32GB en configuración dual channel 2x16GB, velocidad probada de 3200MT/s, latencia CL16-20-20-38 y voltaje de 1.35V. Diseñada para overclocking mediante Intel XMP 2.0, con disipador de aluminio anodizado de perfil bajo y formato UDIMM de 288 pines.",389.12,2019-05-01,2019,"{""technology"":""DDR4""}","{""speed"":3200,""latency"":16,""voltage"":1.35,""capacity"":32,""technology"":""DDR4"",""ecc_support"":false,""dual_channel"":""2x16"",""has_dram_cache"":false,""profile_support"":[""XMP 2.0""],""overclocking_headroom"":""Medium""}","[{""name"":""Intel XMP 2.0"",""description"":""Perfil de memoria que permite aplicar automáticamente velocidad, voltaje y latencias probadas.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio anodizado para mejorar la disipación térmica.""},{""name"":""Low-Profile Design"",""description"":""Diseño de baja altura compatible con más disipadores de CPU y cajas compactas.""},{""name"":""Compatibility Tested"",""description"":""Memoria validada por Corsair para compatibilidad con múltiples plataformas DDR4.""}]","{""latency_ns"":70,""read_speed"":45,""write_speed"":43}","[""DDR4"",""Corsair"",""Vengeance LPX"",""32GB"",""2x16"",""3200MHz"",""CL16"",""XMP 2.0""]",2026-08-17 10:36:00+00,357.99
ram-corsair-vengeance-lpx-ddr4-8gb-1x8-3200-cl16,corsair-vengeance-lpx-ddr4-8gb-1x8-3200-cl16,budget,Corsair Vengeance LPX 8GB (1x8GB) DDR4 3200MHz CL16,Corsair,ram,Memory Module,"Módulo Corsair Vengeance LPX DDR4 de 8GB en configuración single channel 1x8GB, velocidad probada de 3200MT/s, latencia CL16 y voltaje de 1.35V. Pensado para equipos DDR4 económicos o ampliaciones básicas, con perfil Intel XMP 2.0 y disipador de aluminio de bajo perfil.",79.99,2018-02-01,2018,"{""technology"":""DDR4""}","{""speed"":3200,""latency"":16,""voltage"":1.35,""capacity"":8,""technology"":""DDR4"",""ecc_support"":false,""dual_channel"":""1x8"",""has_dram_cache"":false,""profile_support"":[""XMP 2.0""],""overclocking_headroom"":""Medium""}","[{""name"":""Intel XMP 2.0"",""description"":""Perfil de memoria que permite aplicar automáticamente velocidad, voltaje y latencias probadas.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de aluminio anodizado para mejorar la disipación térmica.""},{""name"":""Low-Profile Design"",""description"":""Diseño de baja altura compatible con más disipadores de CPU y cajas compactas.""},{""name"":""Compatibility Tested"",""description"":""Memoria validada por Corsair para compatibilidad con múltiples plataformas DDR4.""}]","{""latency_ns"":72,""read_speed"":23,""write_speed"":22}","[""DDR4"",""Corsair"",""Vengeance LPX"",""8GB"",""1x8"",""Single Channel"",""3200MHz"",""CL16"",""XMP 2.0""]",2026-08-17 10:36:00+00,96.99
ram-generic-ddr4-16gb,ddr4-16gb-2x8-3200-cl16-kit,budget,DDR4 16GB (2x8GB) 3200MHz CL16 Kit,Generic,ram,Memory Module,"Kit de memoria RAM DDR4 de 16GB (2 módulos de 8GB) a 3200MHz con latencia CL16. Es una opción común y equilibrada para PC de escritorio de gama media, que ofrece un buen rendimiento para juegos y tareas de productividad. Opera a 1.35V y soporta perfiles Intel XMP 2.0.",45.00,2020-01-01,2020,"{""technology"":""DDR4""}","{""speed"":3200,""latency"":16,""voltage"":1.35,""capacity"":16,""technology"":""DDR4"",""ecc_support"":false,""dual_channel"":""2x8"",""has_dram_cache"":false,""profile_support"":[""XMP 2.0"",""EXPO""],""overclocking_headroom"":""Medium""}","[{""name"":""Intel XMP 2.0"",""description"":""Perfil de memoria extremo que permite overclocking con un solo clic.""},{""name"":""AMD EXPO"",""description"":""Perfil de overclocking de memoria optimizado para plataformas AMD.""},{""name"":""Aluminum Heat Spreader"",""description"":""Disipador de calor pasivo para una mejor gestión térmica.""}]","{""latency_ns"":70,""read_speed"":45,""write_speed"":43}","[""DDR4"",""Budget"",""16GB""]",2026-05-03 17:14:15.889256+00,41.40
ram-generic-ddr5-32gb,ddr5-32gb-2x16-6000-cl36-kit,performance,DDR5 32GB (2x16GB) 6000MHz CL36 Kit,Generic,ram,Memory Module,"Kit de memoria RAM DDR5 de 32GB (2 módulos de 16GB) a 6000MHz con latencia CL36. Ideal para plataformas modernas de entusiastas y gaming de alto rendimiento, ofreciendo un excelente equilibrio entre velocidad y latencia. Opera a 1.35V y soporta perfiles XMP 3.0 y EXPO.",110.00,2022-09-01,2022,"{""technology"":""DDR5""}","{""speed"":6000,""latency"":36,""voltage"":1.35,""capacity"":32,""technology"":""DDR5"",""ecc_support"":false,""dual_channel"":""2x16"",""has_dram_cache"":false,""profile_support"":[""XMP 3.0"",""EXPO""],""overclocking_headroom"":""Medium""}","[{""name"":""Intel XMP 3.0"",""description"":""Perfil de memoria extremo con perfiles configurables y soporte para overclocking dinámico.""},{""name"":""AMD EXPO"",""description"":""Perfil de overclocking de memoria optimizado específicamente para plataformas AMD Ryzen.""},{""name"":""On-die ECC"",""description"":""Corrección de errores interna para mayor estabilidad, típica en memorias DDR5.""}]","{""latency_ns"":65,""read_speed"":75,""write_speed"":72}","[""DDR5"",""32GB"",""High Performance"",""EXPO"",""XMP 3.0""]",2026-05-03 17:14:56.889287+00,101.20
